--- ECM Fitting Parameter Table (DRTxECM Style) ---
Element,Freedom,Value,Error,Error%
R_ohm,Free +-5%,0.036382,1.2204e-04,0.34%
L_ind,Fixed,0.0,N/A,N/A
R_1,Fixed,0.0011,N/A,N/A
Q_1,Free +-5%,3.869,9.3570e-01,24.18%
n_1,Fixed,1.0,N/A,N/A
R_2,Free +-5%,0.01265,3.8240e-04,3.02%
Q_2,Free +-5%,1.8233,5.5738e-04,0.03%
n_2,Fixed,0.98,N/A,N/A
R_3,Free +-5%,0.0011199,5.5738e-04,49.77%
Q_3,Free +-5%,89.549,8.0830e-03,0.01%
n_3,Fixed,0.45,N/A,N/A

--- Merged Frequency Response Breakdown Data Block ---
Frequency (Hz),Z_raw_prime (Ohm),Z_raw_double_prime (Ohm),Magnitude_raw (Ohm),Theta_raw (deg),Total_Fitted_Z_prime (Ohm),Total_Fitted_Z_double_prime (Ohm),Magnitude_fitted (Ohm),Theta_fitted (deg),Branch_1_Z_prime (Ohm),Branch_1_Z_double_prime (Ohm),Branch_2_Z_prime (Ohm),Branch_2_Z_double_prime (Ohm),Branch_3_Z_prime (Ohm),Branch_3_Z_double_prime (Ohm)
839.5599999999997,0.0366393,0.000573289,0.03664378480407723,0.8964243301741409,0.036557180090408564,0.0002844615420599638,0.03655828681067366,0.4458253294672448,0.03638417814019741,4.8899999206936776e-05,0.03748707682761175,0.0001232631174955378,0.05029992512259939,0.00011229842535748922
774.1071415070637,0.03659789419111575,0.0006521212290746456,0.036603703655798465,1.020819404886069,0.03656379897906509,0.0003016614525248483,0.036565043353090944,0.4726953001236221,0.0363845611535367,5.301612380147325e-05,0.03748760463835755,0.0001334595498690732,0.05030563318717083,0.00011518577885430187
713.75704718214,0.03658731509858171,0.0007225284976289458,0.03659444867125054,1.131333444827506,0.03657071498072608,0.00032007636353925976,0.03657211564949448,0.5014546889501522,0.036385011332810156,5.74751943527157e-05,0.03748819465613928,0.00014449842549742498,0.05031150899177664,0.00011810274368911905
658.1119009060561,0.03660741937545532,0.0007834512500502401,0.036615801905620846,1.2260246540461954,0.036577950883048466,0.0003398004518784545,0.03657952918163112,0.532248834840567,0.03638554038575553,6.23048152215173e-05,0.037488855214902285,0.0001564491337965064,0.05031755528239064,0.00012104650286043079
606.8049006648331,0.03662385962623862,0.0008461200107887681,0.03663363226592591,1.3234673690305272,0.03658553258445796,0.00036093529438545704,0.03658731294827714,0.5652343072262687,0.03638616203393771,6.753454527121991e-05,0.03748959588518503,0.0001693867319526783,0.050323774665335205,0.00012401401716155883
559.4978406619323,0.0366333964171164,0.0009126589342458883,0.036644763328255454,1.4271319498300115,0.03659348960866344,0.0003835903793962442,0.03659550004192489,0.6005796410109743,0.03638689234885394,7.319596069479031e-05,0.0374904276700154,0.00018339239677250656,0.05033016958979409,0.00012700202192894735
515.8788819312297,0.03663869590108127,0.0009754215384863857,0.03665167778573926,1.5250089517717267,0.03660185570274142,0.00040788363063330735,0.03660412831827092,0.6384660776292576,0.03638775014019397,7.932269600259777e-05,0.03749136323291549,0.00019855390984781956,0.05033674232963195,0.00013000702478288998
475.6604967550193,0.03664250435395219,0.00103602736879813,0.03665714770734767,1.619545022070933,0.03661066953073543,0.0004339419366401573,0.036613241171645744,0.679088298496374,0.036388757402817926,8.595045437271463e-05,0.037492417163336345,0.00021496617779696807,0.050343494964581154,0.0001330253044704746
438.57757333705524,0.036654112743474625,0.0011019103096774033,0.03667067203286466,1.7219295850230787,0.03661997547580308,0.0004619016763253529,0.03662288843069332,0.7226551325828295,0.036389939829216324,9.311697616426842e-05,0.03749360628571757,0.00023273178923999564,0.05035042936086917,0.00013605291092108883
404.38566823699625,0.03667143677538294,0.001168243620103529,0.0366900404514198,1.8246571424829197,0.03662982456487389,0.0004919092280711987,0.03663312738959234,0.7693902142460679,0.036391327394120626,0.00010086195145649684,0.03749495001937966,0.00025196160999066294,0.0503575471513736,0.0001390856666240389
